DateTime,Source,Nitrate Load
2016-03-03,USGS,0.110410372
2016-03-04,LIS-SWAT,0.08801
2016-03-04,SWAT,0.1478
2016-03-04,USGS,0.109718647
2016-03-05,LIS-SWAT,0.08853
2016-03-05,SWAT,0.1378
2016-03-05,USGS,0.102979163
2016-03-06,LIS-SWAT,0.08792
2016-03-06,SWAT,0.1608
2016-03-06,USGS,0.098484543
2016-03-07,LIS-SWAT,0.08169
2016-03-07,SWAT,0.1549
2016-03-07,USGS,0.081444258
2016-03-08,LIS-SWAT,0.07693
2016-03-08,SWAT,0.07372
2016-03-08,USGS,0.077999083
2016-03-09,LIS-SWAT,0.07374
2016-03-09,SWAT,0.1151
2016-03-09,USGS,0.090594141
2016-03-10,LIS-SWAT,0.07392
2016-03-10,SWAT,0.1109
2016-03-10,USGS,0.090386306
2016-03-11,LIS-SWAT,0.07319
2016-03-11,SWAT,0.1066
2016-03-11,USGS,0.099682652
2016-03-12,LIS-SWAT,0.07068
2016-03-12,SWAT,0.09865
2016-03-12,USGS,0.084425103
2016-03-13,LIS-SWAT,0.07188
2016-03-13,SWAT,0.09518
2016-03-13,USGS,0.089784806
2016-03-14,LIS-SWAT,0.07593
2016-03-14,SWAT,0.09315
2016-03-14,USGS,0.083716019
2016-03-15,LIS-SWAT,0.07488
2016-03-15,SWAT,0.09217
2016-03-15,USGS,0.083716019
2016-03-16,LIS-SWAT,0.07654
2016-03-16,SWAT,0.1774
2016-03-16,USGS,0.103846692
2016-03-17,LIS-SWAT,0.07865
2016-03-17,SWAT,0.1316
2016-03-17,USGS,0.124642437
2016-03-18,LIS-SWAT,0.0819
2016-03-18,SWAT,0.1929
2016-03-18,USGS,0.143623904
2016-03-19,LIS-SWAT,0.08571
2016-03-19,SWAT,0.21
2016-03-19,USGS,0.156707741
2016-03-20,LIS-SWAT,0.0862
2016-03-20,SWAT,0.2249
2016-03-20,USGS,0.16678408
2016-03-21,LIS-SWAT,0.08459
2016-03-21,SWAT,0.2297
2016-03-21,USGS,0.162258163
2016-03-22,LIS-SWAT,0.08143
2016-03-22,SWAT,0.2422
2016-03-22,USGS,0.144042019
2016-03-23,LIS-SWAT,0.07788
2016-03-23,SWAT,0.2443
2016-03-23,USGS,0.143743715
2016-03-24,LIS-SWAT,0.07367
2016-03-24,SWAT,0.2552
2016-03-24,USGS,0.105519154
2016-03-25,LIS-SWAT,0.07337
2016-03-25,SWAT,0.2774
2016-03-25,USGS,0.102462754
2016-03-26,LIS-SWAT,0.07034
2016-03-26,SWAT,0.2888
2016-03-26,USGS,0.111407003
2016-03-27,LIS-SWAT,0.06802
2016-03-27,SWAT,0.2926
2016-03-27,USGS,0.108035182
2016-03-28,LIS-SWAT,0.06707
2016-03-28,SWAT,0.2874
2016-03-28,USGS,0.103624186
2016-03-29,LIS-SWAT,0.0646
2016-03-29,SWAT,0.2524
2016-03-29,USGS,0.129806531
2016-03-30,LIS-SWAT,0.06211
2016-03-30,SWAT,0.2816
2016-03-30,USGS,0.138628524
2016-03-31,LIS-SWAT,0.06215
2016-03-31,SWAT,0.2951
2016-03-31,USGS,0.132613528
2016-04-01,LIS-SWAT,0.06415
2016-04-01,SWAT,0.3098
2016-04-01,USGS,0.13407082
2016-04-02,LIS-SWAT,0.06286
2016-04-02,SWAT,0.3149
2016-04-02,USGS,0.127107118
2016-04-03,LIS-SWAT,0.06125
2016-04-03,SWAT,0.3378
2016-04-03,USGS,0.135410746
2016-04-04,LIS-SWAT,0.05882
2016-04-04,SWAT,0.3415
2016-04-04,USGS,0.129102336
2016-04-05,LIS-SWAT,0.05766
2016-04-05,SWAT,0.3367
2016-04-05,USGS,0.134068375
2016-04-06,LIS-SWAT,0.05667
2016-04-06,SWAT,0.3325
2016-04-06,USGS,0.143303593
2016-04-07,LIS-SWAT,0.06392
2016-04-07,SWAT,0.326
2016-04-07,USGS,0.164605478
2016-04-08,LIS-SWAT,0.06812
2016-04-08,SWAT,0.3221
2016-04-08,USGS,0.182386391
2016-04-09,LIS-SWAT,0.06904
2016-04-09,SWAT,0.3174
2016-04-09,USGS,0.17951093
2016-04-10,LIS-SWAT,0.06705
2016-04-10,SWAT,0.3124
2016-04-10,USGS,0.173769788
2016-04-11,LIS-SWAT,0.06657
2016-04-11,SWAT,0.3063
2016-04-11,USGS,0.170828309
2016-04-12,LIS-SWAT,0.06421
2016-04-12,SWAT,0.3316
2016-04-12,USGS,0.166850099
2016-04-13,LIS-SWAT,0.0617
2016-04-13,SWAT,0.3444
2016-04-13,USGS,0.150741648
2016-04-14,LIS-SWAT,0.05935
2016-04-14,SWAT,0.3377
2016-04-14,USGS,0.130826146
2016-04-15,LIS-SWAT,0.05721
2016-04-15,SWAT,0.3316
2016-04-15,USGS,0.128596196
2016-04-16,LIS-SWAT,0.05554
2016-04-16,SWAT,0.3264
2016-04-16,USGS,0.125860107
2016-04-17,LIS-SWAT,0.0546
2016-04-17,SWAT,0.3237
2016-04-17,USGS,0.10779556
2016-04-18,LIS-SWAT,0.05373
2016-04-18,SWAT,0.3154
2016-04-18,USGS,0.125882113
2016-04-19,LIS-SWAT,0.05306
2016-04-19,SWAT,0.3082
2016-04-19,USGS,0.121742525
2016-04-20,LIS-SWAT,0.05865
2016-04-20,SWAT,0.3347
2016-04-20,USGS,0.088728515
2016-04-21,LIS-SWAT,0.05944
2016-04-21,SWAT,0.3246
2016-04-21,USGS,0.09841608
2016-04-22,LIS-SWAT,0.06241
2016-04-22,SWAT,0.3164
2016-04-22,USGS,0.098538336
2016-04-23,LIS-SWAT,0.06244
2016-04-23,SWAT,0.3163
2016-04-23,USGS,0.120118965
2016-04-24,LIS-SWAT,0.06111
2016-04-24,SWAT,0.3055
2016-04-24,USGS,0.113001221
2016-04-25,LIS-SWAT,0.0581
2016-04-25,SWAT,0.3256
2016-04-25,USGS,0.108915425
2016-04-26,LIS-SWAT,0.05636
2016-04-26,SWAT,0.3272
2016-04-26,USGS,0.103335661
2016-04-27,LIS-SWAT,0.05502
2016-04-27,SWAT,0.3482
2016-04-27,USGS,0.099555506
2016-04-28,LIS-SWAT,0.05379
2016-04-28,SWAT,0.366
2016-04-28,USGS,0.100743834
2016-04-29,LIS-SWAT,0.05304
2016-04-29,SWAT,0.3803
2016-04-29,USGS,0.099680207
2016-04-30,LIS-SWAT,0.0518
2016-04-30,SWAT,0.394
2016-04-30,USGS,0.098330501
2016-05-01,LIS-SWAT,0.05655
2016-05-01,SWAT,0.4041
2016-05-01,USGS,0.106651244
2016-05-02,LIS-SWAT,0.05977
2016-05-02,SWAT,0.3788
2016-05-02,USGS,0.118539418
2016-05-03,LIS-SWAT,0.06139
2016-05-03,SWAT,0.1919
2016-05-03,USGS,0.142403789
2016-05-04,LIS-SWAT,0.06072
2016-05-04,SWAT,0.1791
2016-05-04,USGS,0.158113685
2016-05-05,LIS-SWAT,0.0794
2016-05-05,SWAT,0.1703
2016-05-05,USGS,0.166444209
2016-05-06,LIS-SWAT,0.08188
2016-05-06,SWAT,0.1749
2016-05-06,USGS,0.161808261
2016-05-07,LIS-SWAT,0.08252
2016-05-07,SWAT,0.1874
2016-05-07,USGS,0.146746322
2016-05-08,LIS-SWAT,0.1041
2016-05-08,SWAT,0.2019
2016-05-08,USGS,0.135300715
2016-05-09,LIS-SWAT,0.1099
2016-05-09,SWAT,0.2149
2016-05-09,USGS,0.106802842
2016-05-10,LIS-SWAT,0.1157
2016-05-10,SWAT,0.2256
2016-05-10,USGS,0.098235141
2016-05-11,LIS-SWAT,0.2248
2016-05-11,SWAT,0.2359
2016-05-11,USGS,0.085652554
2016-05-12,LIS-SWAT,0.257
2016-05-12,SWAT,0.2448
2016-05-12,USGS,0.105785672
2016-05-13,LIS-SWAT,0.3329
2016-05-13,SWAT,0.2521
2016-05-13,USGS,0.137171232
2016-05-14,LIS-SWAT,0.3877
2016-05-14,SWAT,0.2584
2016-05-14,USGS,0.178329937
2016-05-15,LIS-SWAT,0.3935
2016-05-15,SWAT,0.2635
2016-05-15,USGS,0.211671593
2016-05-16,LIS-SWAT,0.3844
2016-05-16,SWAT,0.2657
2016-05-16,USGS,0.215207237
2016-05-17,LIS-SWAT,0.3817
2016-05-17,SWAT,0.2628
2016-05-17,USGS,0.185826675
2016-05-18,LIS-SWAT,0.3713
2016-05-18,SWAT,0.3836
2016-05-18,USGS,0.161436603
2016-05-19,LIS-SWAT,0.354
2016-05-19,SWAT,0.3674
2016-05-19,USGS,0.156541473
2016-05-20,LIS-SWAT,0.3335
2016-05-20,SWAT,0.2162
2016-05-20,USGS,0.114343592
2016-05-21,LIS-SWAT,0.3142
2016-05-21,SWAT,0.1704
2016-05-21,USGS,0.115094244
2016-05-22,LIS-SWAT,0.2961
2016-05-22,SWAT,0.1827
2016-05-22,USGS,0.103339329
2016-05-23,LIS-SWAT,0.278
2016-05-23,SWAT,0.8519
2016-05-23,USGS,0.103098485
2016-05-24,LIS-SWAT,0.2615
2016-05-24,SWAT,0.3437
2016-05-24,USGS,0.10261215
2016-05-25,LIS-SWAT,0.246
2016-05-25,SWAT,0.2434
2016-05-25,USGS,0.093011631
2016-05-26,LIS-SWAT,0.2303
2016-05-26,SWAT,0.1837
2016-05-26,USGS,0.090253536
2016-05-27,LIS-SWAT,0.2297
2016-05-27,SWAT,0.1488
2016-05-28,LIS-SWAT,0.2283
2016-05-28,SWAT,0.1097
2016-05-29,LIS-SWAT,0.2222
2016-05-29,SWAT,0.09975
2016-05-30,LIS-SWAT,0.1867
2016-05-30,SWAT,0.07953
2016-05-31,LIS-SWAT,0.1758
2016-05-31,SWAT,0.07531
2016-06-01,LIS-SWAT,0.1744
2016-06-01,SWAT,0.07539
2016-06-02,LIS-SWAT,0.2045
2016-06-02,SWAT,1.641
2016-06-03,LIS-SWAT,0.1953
2016-06-03,SWAT,1.521
2016-06-03,USGS,0.115223835
2016-06-04,LIS-SWAT,0.1673
2016-06-04,SWAT,1.432
2016-06-04,USGS,0.135579459
2016-06-05,LIS-SWAT,0.142
2016-06-05,SWAT,1.354
2016-06-05,USGS,0.112955742
2016-06-06,LIS-SWAT,0.1187
2016-06-06,SWAT,1.275
2016-06-06,USGS,0.105048957
2016-06-07,LIS-SWAT,0.1027
2016-06-07,SWAT,1.923
2016-06-07,USGS,0.08499775
2016-06-08,LIS-SWAT,0.09209
2016-06-08,SWAT,2.01
2016-06-08,USGS,0.085430537
2016-06-09,LIS-SWAT,0.08381
2016-06-09,SWAT,2.025
2016-06-09,USGS,0.088338273
2016-06-10,LIS-SWAT,0.07931
2016-06-10,SWAT,1.955
2016-06-10,USGS,0.092086642
2016-06-11,LIS-SWAT,0.06744
2016-06-11,SWAT,1.927
2016-06-11,USGS,0.091017147
2016-06-12,LIS-SWAT,0.05891
2016-06-12,SWAT,1.885
2016-06-12,USGS,0.087760003
2016-06-13,LIS-SWAT,0.05375
2016-06-13,SWAT,1.832
2016-06-13,USGS,0.081407825
2016-06-14,LIS-SWAT,0.05192
2016-06-14,SWAT,1.672
2016-06-14,USGS,0.080944475
2016-06-15,LIS-SWAT,0.05073
2016-06-15,SWAT,1.442
2016-06-15,USGS,0.107322185
2016-06-16,LIS-SWAT,0.1154
2016-06-16,SWAT,1.47
2016-06-16,USGS,0.201502339
2016-06-17,LIS-SWAT,0.1169
2016-06-17,SWAT,1.452
2016-06-17,USGS,0.167666769
2016-06-18,LIS-SWAT,0.09974
2016-06-18,SWAT,1.642
2016-06-18,USGS,0.160497677
2016-06-19,LIS-SWAT,0.08637
2016-06-19,SWAT,1.624
2016-06-19,USGS,0.157984093
2016-06-20,LIS-SWAT,0.07597
2016-06-20,SWAT,1.61
2016-06-20,USGS,0.165830484
2016-06-21,LIS-SWAT,0.06825
2016-06-21,SWAT,1.693
2016-06-21,USGS,0.163803479
2016-06-22,LIS-SWAT,0.0627
2016-06-22,SWAT,1.664
2016-06-22,USGS,0.163700784
2016-06-23,LIS-SWAT,0.1267
2016-06-23,SWAT,1.576
2016-06-23,USGS,0.162140797
2016-06-24,LIS-SWAT,0.1297
2016-06-24,SWAT,1.53
2016-06-24,USGS,0.148604613
2016-06-25,LIS-SWAT,0.1168
2016-06-25,SWAT,1.485
2016-06-25,USGS,0.127432075
2016-06-26,LIS-SWAT,0.1004
2016-06-26,SWAT,1.434
2016-06-26,USGS,0.119150698
2016-06-27,LIS-SWAT,0.08531
2016-06-27,SWAT,1.382
2016-06-27,USGS,0.111738805
2016-06-28,LIS-SWAT,0.07462
2016-06-28,SWAT,0.5932
2016-06-28,USGS,0.10022229
2016-06-29,LIS-SWAT,0.06755
2016-06-29,SWAT,0.6287
2016-06-29,USGS,0.094422955
2016-06-30,LIS-SWAT,0.0623
2016-06-30,SWAT,0.6249
2016-06-30,USGS,0.090838653
2016-07-01,LIS-SWAT,0.05742
2016-07-01,SWAT,0.6535
2016-07-01,USGS,0.087623809
2016-07-02,LIS-SWAT,0.0553
2016-07-02,SWAT,0.6774
2016-07-02,USGS,0.084456401
2016-07-03,LIS-SWAT,0.05497
2016-07-03,SWAT,0.7049
2016-07-03,USGS,0.077891743
2016-07-04,LIS-SWAT,0.05366
2016-07-04,SWAT,0.7291
2016-07-04,USGS,0.075234386
2016-07-05,LIS-SWAT,0.05262
2016-07-05,SWAT,0.7449
2016-07-05,USGS,0.072504165
2016-07-06,LIS-SWAT,0.05198
2016-07-06,SWAT,0.7611
2016-07-06,USGS,0.081404402
2016-07-07,LIS-SWAT,0.04569
2016-07-07,SWAT,0.7677
2016-07-07,USGS,0.097327024
2016-07-08,LIS-SWAT,0.04163
2016-07-08,SWAT,0.7747
2016-07-08,USGS,0.091362398
2016-07-09,LIS-SWAT,0.03882
2016-07-09,SWAT,0.7205
2016-07-09,USGS,0.08094203
2016-07-10,LIS-SWAT,0.0392
2016-07-10,SWAT,0.6935
2016-07-10,USGS,0.067551086
2016-07-11,LIS-SWAT,0.042
2016-07-11,SWAT,0.7027
2016-07-11,USGS,0.059499061
2016-07-12,LIS-SWAT,0.04343
2016-07-12,SWAT,0.7071
2016-07-12,USGS,0.05626539
2016-07-13,LIS-SWAT,0.04404
2016-07-13,SWAT,0.7058
2016-07-13,USGS,0.055118873
2016-07-14,LIS-SWAT,0.04077
2016-07-14,SWAT,0.4723
2016-07-14,USGS,0.0591164
