DateTime,Source,Nitrate Load
2016-01-01,LIS-SWAT,1.481
2016-01-01,SWAT,0.6547
2016-01-01,USGS,0.805324723
2016-01-02,LIS-SWAT,1.457
2016-01-02,SWAT,0.6403
2016-01-02,USGS,0.678997598
2016-01-03,LIS-SWAT,1.431
2016-01-03,SWAT,0.6304
2016-01-03,USGS,0.672562043
2016-01-04,LIS-SWAT,1.404
2016-01-04,SWAT,0.6232
2016-01-04,USGS,0.669468966
2016-01-05,LIS-SWAT,1.375
2016-01-05,SWAT,0.6166
2016-01-05,USGS,0.636293578
2016-01-06,LIS-SWAT,1.345
2016-01-06,SWAT,0.612
2016-01-06,USGS,0.609920513
2016-01-07,LIS-SWAT,1.314
2016-01-07,SWAT,0.6098
2016-01-07,USGS,0.609881391
2016-01-08,LIS-SWAT,1.289
2016-01-08,SWAT,0.6054
2016-01-08,USGS,0.633364324
2016-01-09,LIS-SWAT,1.267
2016-01-09,SWAT,0.6027
2016-01-09,USGS,0.657174902
2016-01-10,LIS-SWAT,1.247
2016-01-10,SWAT,0.6001
2016-01-11,LIS-SWAT,1.224
2016-01-11,SWAT,0.5972
2016-01-12,LIS-SWAT,1.202
2016-01-12,SWAT,0.5941
2016-01-13,LIS-SWAT,1.181
2016-01-13,SWAT,0.5902
2016-01-14,LIS-SWAT,1.16
2016-01-14,SWAT,0.5858
2016-01-14,USGS,0.535723347
2016-01-15,LIS-SWAT,1.137
2016-01-15,SWAT,0.5809
2016-01-15,USGS,0.541102611
2016-01-16,LIS-SWAT,1.119
2016-01-16,SWAT,0.5756
2016-01-16,USGS,0.555629069
2016-01-17,LIS-SWAT,1.096
2016-01-17,SWAT,0.5699
2016-01-18,LIS-SWAT,1.078
2016-01-18,SWAT,0.5643
2016-01-19,LIS-SWAT,1.061
2016-01-19,SWAT,0.5569
2016-01-20,LIS-SWAT,1.044
2016-01-20,SWAT,0.5502
2016-01-20,USGS,0.65468088
2016-01-21,LIS-SWAT,1.026
2016-01-21,SWAT,0.5429
2016-01-21,USGS,0.678393654
2016-01-22,LIS-SWAT,1.01
2016-01-22,SWAT,0.5364
2016-01-22,USGS,0.666818456
2016-01-23,LIS-SWAT,0.9908
2016-01-23,SWAT,0.5296
2016-01-23,USGS,0.647389532
2016-01-24,LIS-SWAT,0.9701
2016-01-24,SWAT,0.5215
2016-01-24,USGS,0.629232071
2016-01-25,LIS-SWAT,0.9521
2016-01-25,SWAT,0.5136
2016-01-25,USGS,0.61494279
2016-01-26,LIS-SWAT,0.9376
2016-01-26,SWAT,0.4374
2016-01-26,USGS,0.601973873
2016-01-27,LIS-SWAT,0.9235
2016-01-27,SWAT,0.433
2016-01-27,USGS,0.586004795
2016-01-28,LIS-SWAT,0.9084
2016-01-28,SWAT,0.4301
2016-01-28,USGS,0.572326793
2016-01-29,LIS-SWAT,0.8952
2016-01-29,SWAT,0.4277
2016-01-29,USGS,0.539427704
2016-01-30,LIS-SWAT,0.8826
2016-01-30,SWAT,0.4253
2016-01-30,USGS,0.499063663
2016-01-31,LIS-SWAT,0.8682
2016-01-31,SWAT,0.4221
2016-01-31,USGS,0.473876482
2016-02-01,LIS-SWAT,0.8606
2016-02-01,SWAT,0.4178
2016-02-01,USGS,0.466025201
2016-02-02,LIS-SWAT,0.8497
2016-02-02,SWAT,0.4137
2016-02-02,USGS,0.442437129
2016-02-03,LIS-SWAT,0.8344
2016-02-03,SWAT,0.4095
2016-02-03,USGS,0.465868714
2016-02-04,LIS-SWAT,0.824
2016-02-04,SWAT,0.4045
2016-02-04,USGS,0.470746728
2016-02-05,LIS-SWAT,0.8138
2016-02-05,SWAT,0.3996
2016-02-05,USGS,0.438155724
2016-02-06,LIS-SWAT,0.8034
2016-02-06,SWAT,0.3944
2016-02-06,USGS,0.428788469
2016-02-07,LIS-SWAT,0.7927
2016-02-07,SWAT,0.3886
2016-02-07,USGS,0.411851123
2016-02-08,LIS-SWAT,0.7836
