DateTime,ET,Year
05/27,-0.871,2017
05/28,-0.913,2017
05/29,-0.977,2017
05/30,-0.976,2017
05/31,-0.905,2017
06/01,-0.876,2017
06/02,-0.845,2017
06/03,-0.792,2017
06/04,-0.758,2017
06/05,-0.758,2017
06/06,-0.745,2017
06/07,-0.737,2017
06/08,-0.709,2017
06/09,-0.702,2017
06/10,-0.654,2017
06/11,-0.493,2017
06/12,-0.402,2017
06/13,-0.33,2017
06/14,-0.304,2017
06/15,-0.3,2017
06/16,-0.314,2017
06/17,-0.36,2017
06/18,-0.493,2017
06/19,-0.526,2017
06/20,-0.602,2017
06/21,-0.677,2017
06/22,-0.756,2017
06/23,-0.811,2017
06/24,-0.861,2017
06/25,-0.893,2017
06/26,-0.943,2017
06/27,-0.975,2017
06/28,-0.97,2017
06/29,-0.916,2017
06/30,-0.894,2017
07/01,-0.86,2017
07/02,-0.855,2017
07/03,-0.837,2017
07/04,-0.806,2017
07/05,-0.794,2017
07/06,-0.799,2017
07/07,-0.778,2017
07/08,-0.817,2017
07/09,-0.819,2017
07/10,-0.853,2017
07/11,-0.851,2017
07/12,-0.798,2017
07/13,-0.785,2017
07/14,-0.767,2017
07/15,-0.705,2017
07/16,-0.673,2017
07/17,-0.606,2017
07/18,-0.554,2017
07/19,-0.501,2017
07/20,-0.476,2017
07/21,-0.466,2017
07/22,-0.457,2017
07/23,-0.497,2017
07/24,-0.548,2017
07/25,-0.57,2017
07/26,-0.604,2017
07/27,-0.59,2017
07/28,-0.576,2017
07/29,-0.606,2017
07/30,-0.535,2017
07/31,-0.439,2017
08/01,-0.449,2017
08/02,-0.451,2017
08/03,-0.441,2017
08/04,-0.465,2017
08/05,-0.432,2017
08/06,-0.458,2017
08/07,-0.522,2017
08/08,-0.525,2017
08/09,-0.524,2017
08/10,-0.51,2017
08/11,-0.469,2017
08/12,-0.459,2017
08/13,-0.427,2017
08/14,-0.351,2017
08/15,-0.228,2017
08/16,-0.15,2017
08/17,-0.132,2017
08/18,-0.126,2017
08/19,-0.108,2017
08/20,-0.098,2017
08/21,-0.107,2017
08/22,-0.189,2017
08/23,-0.216,2017
08/24,-0.192,2017
08/25,-0.122,2017
08/26,-0.082,2017
08/27,-0.084,2017
08/28,-0.145,2017
08/29,-0.085,2017
08/30,-0.087,2017
08/31,-0.139,2017
09/01,-0.187,2017
09/02,-0.305,2017
09/03,-0.397,2017
09/04,-0.415,2017
09/05,-0.519,2017
09/06,-0.599,2017
09/07,-0.647,2017
09/08,-0.725,2017
09/09,-0.701,2017
09/10,-0.622,2017
09/11,-0.575,2017
09/12,-0.502,2017
09/13,-0.403,2017
09/14,-0.327,2017
09/15,-0.215,2017
09/16,-0.07,2017
09/17,0.063,2017
09/18,0.187,2017
09/19,0.241,2017
09/20,0.19,2017
09/21,0.167,2017
09/22,0.123,2017
09/23,0.052,2017
09/24,-0.039,2017
09/25,-0.033,2017
09/26,0.037,2017
09/27,0.149,2017
09/28,0.191,2017
09/29,0.226,2017
09/30,0.247,2017
