Percentiles,Value,Source
50,-12.6,Management
50,72.85,Hydrology
50,7.4,Sea Level Rise
95,-64.31,Management
95,13.38,Hydrology
95,5.47,Sea Level Rise
99.72,-60.72,Management
99.72,64.66,Hydrology
99.72,2.89,Sea Level Rise
