Percentiles,Value,Source
50,-8585.96,Management
50,9874.23,Hydrology
50,5969.06,Sea Level Rise
95,-41293.95,Management
95,18157.24,Hydrology
95,5053.38,Sea Level Rise
99.72,-32940.7,Management
99.72,27387.48,Hydrology
99.72,3312.77,Sea Level Rise
